Cluster 6
    value -> 14.0
    mindanao -> 8.0
    process -> 11.0
    follower -> 6.0
    social -> 144.0
    chief -> 25.0
    citizenship -> 8.0
    management -> 10.0
    service -> 29.0
    time -> 9.0
    family -> 7.0
    incident -> 7.0
AVG: 14.45082
Variance: 17.304934


Cluster 2
    reason -> 14.0
    evidence -> 12.0
    experience -> 61.0
    participant -> 9.0
    perception -> 7.0
    dan -> 6.0
    view -> 10.0
    discrimination -> 9.0
    pada -> 5.0
    knowledge -> 41.0
    ethnic -> 10.0
    istilah -> 7.0
    spirituality -> 18.0
    indonesia -> 8.0
    epistemology -> 12.0
    spiritualita -> 6.0
    person -> 10.0
    true -> 12.0
    reality -> 12.0
    religious -> 100.0
    agama-agama -> 6.0
    fact -> 10.0
    pluralism -> 11.0
    literary -> 5.0
    faith -> 10.0
    racial -> 30.0
    life -> 7.0
    world -> 11.0
    islam -> 5.0
    identity -> 19.0
    term -> 5.0
    justification -> 16.0
    socialization -> 13.0
    belief -> 102.0
    kierkegaard -> 6.0
    human -> 17.0
    rational -> 21.0
    rorty -> 5.0
    philosopher -> 11.0
    question -> 20.0
    religion -> 73.0
    truth -> 17.0
    spiritual -> 24.0
    challenge -> 10.0
    yang -> 6.0
    god -> 38.0
AVG: 15.098361
Variance: 20.36125


Cluster 3
    nutrient -> 10.0
    subject -> 8.0
    dutch -> 6.0
    acid -> 5.0
    dietary -> 13.0
    limit -> 9.0
    fat -> 7.0
    acetaldehyde -> 27.0
    pet -> 19.0
    soft -> 19.0
    group -> 6.0
    energy -> 6.0
    method -> 6.0
    preference -> 10.0
    moisture -> 7.0
    water -> 22.0
    drink -> 22.0
    ffq -> 5.0
    plastic -> 9.0
    contents -> 11.0
    fruit -> 6.0
    snack -> 17.0
    nigerian -> 8.0
    bottle -> 50.0
    pre-drying -> 5.0
    content -> 8.0
    beverage -> 6.0
    cooking -> 7.0
    intake -> 18.0
    antimony -> 19.0
    alcoholic -> 6.0
    concentration -> 18.0
    consumption -> 5.0
    sample -> 10.0
    food -> 12.0
    meal -> 7.0
    material -> 19.0
    mean -> 6.0
    migration -> 11.0
    fillet -> 8.0
    bottled -> 8.0
AVG: 8.61194
Variance: 7.6196055


Cluster 4
    system -> 12.0
    hybrid -> 6.0
    gp -> 8.0
    satellite -> 9.0
AVG: 6.714286
Variance: 2.864277


Cluster 5
    antenna -> 4.0
    processor -> 4.0
AVG: 3.4
Variance: 0.48989797


Cluster 23
    request -> 6.0
    tlrda -> 6.0
    package -> 6.0
    ring -> 6.0
    topology -> 9.0
    locality -> 8.0
    source -> 10.0
    graph -> 15.0
    network -> 8.0
    node -> 11.0
    circulant -> 9.0
    route -> 20.0
    problem -> 10.0
    discovery -> 13.0
    region -> 6.0
    algorithm -> 41.0
    traffic -> 8.0
AVG: 9.391304
Variance: 7.828261


Cluster 22
    movie -> 3.0
    production -> 3.0
    city -> 3.0
    location -> 3.0
    industry -> 3.0
    film -> 8.0
    video -> 3.0
AVG: 3.5
Variance: 1.7320508


Cluster 21
    heat -> 8.0
    blockage -> 5.0
    number -> 5.0
    transfer -> 8.0
    coefficient -> 7.0
    rib -> 10.0
AVG: 5.5833335
Variance: 2.019007


Cluster 20
    qian-wu -> 5.0
    chen -> 5.0
    taiwan -> 10.0
    taiwanese -> 6.0
    imagery -> 9.0
    poetry -> 7.0
AVG: 6.0
Variance: 2.108185


Cluster 27
    import -> 8.0
    samp -> 5.0
    production -> 5.0
    sauce -> 9.0
    pork -> 19.0
    botswana -> 5.0
    percent -> 5.0
    cheese -> 6.0
    chinese -> 11.0
    world -> 9.0
    variety -> 8.0
    street -> 12.0
    vendor -> 5.0
    beverage -> 5.0
    company -> 14.0
    grain -> 5.0
    und -> 8.0
    ifba -> 5.0
    food -> 29.0
    drink -> 6.0
    market -> 13.0
    feed -> 6.0
    turkish -> 6.0
    fish -> 12.0
    meat -> 10.0
AVG: 7.4444447
Variance: 5.112319


Cluster 26
    datum -> 4.0
    pyrazine -> 4.0
    reaction -> 5.0
    background -> 5.0
    cross -> 6.0
    section -> 6.0
    event -> 8.0
    resonance -> 4.0
AVG: 4.5
Variance: 1.5


Cluster 25
    traveler -> 9.0
    health -> 17.0
    medicine -> 25.0
    staff -> 10.0
    generic -> 20.0
    pre-travel -> 15.0
    patient -> 20.0
AVG: 10.5625
Variance: 6.402819


Cluster 24
    justice -> 6.0
    account -> 9.0
AVG: 6.6666665
Variance: 1.6996732


Cluster 29
    calcium -> 22.0
    level -> 19.0
    concentration -> 12.0
    body -> 23.0
    brain -> 46.0
    lead -> 36.0
    size -> 26.0
AVG: 15.9375
Variance: 11.502547


Cluster 28
    high -> 9.0
    religiosity -> 24.0
    white -> 11.0
    function -> 7.0
    diagnosis -> 7.0
    spirituality -> 26.0
    ethnocentric -> 7.0
    person -> 9.0
    effect -> 18.0
    protective -> 6.0
    support -> 11.0
    theory -> 8.0
    attitude -> 17.0
    status -> 6.0
    religious -> 25.0
    study -> 20.0
    woman -> 7.0
    abuse -> 9.0
    mental -> 8.0
    racial -> 21.0
    life -> 10.0
    result -> 10.0
    identity -> 10.0
    physical -> 9.0
    relationship -> 8.0
    factor -> 7.0
    socialization -> 12.0
    belief -> 7.0
    childhood -> 8.0
    social -> 33.0
    black -> 6.0
    health -> 38.0
    positive -> 14.0
    people -> 10.0
    survivor -> 6.0
    religion -> 17.0
    lifestyle -> 9.0
    americans -> 6.0
    healthy -> 9.0
    spiritual -> 16.0
    depression -> 20.0
    god -> 9.0
AVG: 9.646153
Variance: 7.2968507


