File,FirstLabel,SecondLabel,ThirdLabel
8283690,military_science,economic_system,public_finance
8055239,information_storage,data_recording,digital_technology
7993817,ecosystem,atmosphere,geography
7384524,nanotechnology,digital_technology,technological_change
6976469,marketing,distributive_trades,financial_market
943817,atmosphere,astronomy,nuclear_physics
7339,metrology,astronomy,astronautics
662336,insurance,statistics,social_survey
7650988,mechanical_engineering,land_transport
707347,electrotechnology,technological_change,cybernetics
791546,therapeutics,animal_product,beverages_and_sugar
8421630,technical_regulations,financial_legislation,criminology
8806712,ecosystem,atmosphere,wildlife
9051795,climate_change_policy,technical_regulations,international_trade
7287345,social_survey,population_dynamics,intellectual_property
753443,animal_product
7395723,nutrition,social_situation,forestry
7522222,aquaculture
7703340,econometrics
7980668,soil_science,economic_sector,public_works
710106,nanotechnology,research,forestry
703178,social_life,social_structure,economic_system
8491596,nanotechnology,electrotechnology,mechanical_engineering
970599,industrial_production,metals,mechanical_engineering
818009,intellectual_property,religion,social_life
742032,psychology,demography,literature
9749317,supply_and_demand,financing_and_investment,monetary_relations
8763628,technological_change,pharmacology,technology_assessment
826952,maritime_and_inland_waterway_transport,economic_sector,land_transport
6233623,technical_profession,economic_system,impact_study
7338732,psychoanalysis,biology,ecology
8057564,forecasting,financing_and_investment,monetary_relations
9722260,toxicology,chemistry,pharmacology
7021915,public_debt,maritime_and_inland_waterway_transport,law
6974759,economic_sector,agronomy,forestry
7919897,agricultural_structures_and_production,nutrition,geography
6517086,economic_system,intellectual_property,religion
608594,financial_legislation,social_survey,social_indicator
9398801,military_science,land_transport,astronautics
7158714,hydraulic_energy,astronomy,public_works
849700,animal_product
8756520,climate_change_policy,ecosystem,ecology
997893,technological_change,intellectual_property,technical_regulations
55485954,glaciology,mathematics,military_science
896843,impact_study,psychology,leisure
930420,consumer
9485301,nanotechnology,optics,technological_change
655861,capital_movement,beverages_and_sugar,economic_indicator
7486135,astronomy,industrial_structures,intellectual_property
704177,opinion_poll,law
7518266,marketing,distributive_trades,supply_and_demand
6795836,econometrics,mathematics,paleontology
9365268,technology_assessment,database,technological_change
7661871,mechanical_engineering
9233368,social_survey,industrial_production,public_works
957081,toxicology,epidemiology,statistics
8742032,wildlife,teaching,information_and_information_processing
7268963,maritime_and_inland_waterway_transport
6693571,economic_system,consumer,atmosphere
832128,climate_change_policy,chemical_industry,consumption
5783091,glaciology,air_and_space_transport,aquaculture
8314839,taxation
637198,ecosystem,plant_product,forestry
7154183,metrology,technological_change,electronics
6803252,personal_data,financial_legislation,information_and_information_processing
8085071,performing_arts,visual_arts,music
8444089,software,systems_interconnection,information_technology_applications
7500845,animal_product,economic_sector,metals
993120,wildlife,consumer,atmosphere
47523890,climate_change_policy,leather_and_textile_industries,ecosystem
67832,metals
9677389,nutrition,economic_sector,ecosystem
880697,economic_indicator,land_transport,electronics_and_electrical_engineering
8642154,agricultural_structures_and_production,international_trade,public_debt
9565354,hydraulic_energy
9564390,technology_assessment,statistics,technological_change
684137,wildlife,ecosystem
7656339,astronomy,optics,nanotechnology
8923963,atmosphere,ecosystem,wind_energy
872824,climate_change_policy,international_trade,law
734707,atmosphere,maritime_and_inland_waterway_transport,technology_assessment
8000777,financial_legislation,monetary_relations,financing_and_investment
803950,digital_technology,technological_change,computer_equipment
8059932,data_recording,computer_equipment,industrial_production
9108922,public_finance,economic_sector,economic_system
7529119,international_trade
5581685,econometrics,macroeconomics
7127141,religion,intellectual_property,welfare
766775,microeconomics,forecasting,statistics
900138,toxicology,technological_change,therapeutics
8465162,bioenergy
7817323,immunology
8928339,insurance,statistics,industrial_production
646568,parasitology,ecosystem,animal_product
7991870,literature,industrial_production,cognitive_science
883953,land_transport,maritime_and_inland_waterway_transport
8810912,technical_profession,teaching,education
8237164,forecasting,industrial_production,macroeconomics
7339428,maritime_and_inland_waterway_transport,ecosystem,atmosphere
708662,animal_product,therapeutics,goods_and_services
82961,research,technology_assessment,technological_change
6870165,capital_movement,economic_indicator,information_technology_applications
9089927,surgery,therapeutics,welfare
8867314,thermodynamics,electrotechnology,meteorology
640370,therapeutics,consumer,social_situation
881148,metals
7818865,econometrics
755249,law,social_situation,economic_system
7865593,plant_product,agricultural_structures_and_production,economic_sector
5891529,immunology,therapeutics,medical_research
7918775,paleontology,intellectual_property,research
7756312,computer_network,public_works,computer_equipment
9888599,demography,international_trade,supply_and_demand
8697102,education,organisation_of_teaching
7623580,marketing,impact_study,social_impact
988803,industrial_production,technological_change,communications_industry
738071,atmosphere,visual_arts,astronomy
7347244,information_technology_applications,social_indicator,population_dynamics
843013,literature
706278,nanotechnology,atmosphere,ecosystem
7945999,education,teaching
8500131,land_transport
7717738,social_life,electrotechnology,welfare
810086,hydraulic_energy
7771171,software,goods_and_services,systems_interconnection
6823439,psychology,social_life,social_impact
957160,intellectual_property,military_science,cybernetics
5594727,wildlife,consumer,ecology
6914199,research,solar_energy
941852,leather_and_textile_industries,economic_indicator,capital_movement
9609482,intellectual_property,information_technology_applications,database
707088,research,nanotechnology,intellectual_property
5998930,hydrology,oceanography,aquaculture
86359,ecosystem,aquaculture
917273,epidemiology,statistics,demography
906890,aquaculture,ecosystem,oceanography
965508,geology,atmosphere,ecosystem
8288264,electrotechnology,information_science,plasma_physics
690883,acoustics
8185866,economic_sector,public_finance,economic_system
7610593,military_science,social_impact,intellectual_property
44980773,leather_and_textile_industries,maritime_and_inland_waterway_transport,mathematics
5926484,farming_systems,ecosystem,wildlife
9267849,education,impact_study,technological_change
7425198,animal_product
698648,electrotechnology,optics,plasma_physics
8046879,information_technology_applications,production,technological_change
870889,plasma_physics
7805368,information_storage,sport_science,social_life
7749214,visual_arts,psychoanalysis,cognitive_science
7885048,mechanical_engineering,electrotechnology,chemistry
7920720,sport_science,industrial_structures,ecology
960256,visual_arts,impact_study,intellectual_property
7647021,religion,performing_arts,education
9347306,climate_change_policy,technology_assessment,technical_regulations
7749319,animal_product
68754,microeconomics,market_prices
616403,intellectual_property,literature,religion
741020,mechanical_engineering,information_science,computer_equipment
9256667,metallurgical_industry,economic_indicator
947934,thermodynamics,nuclear_physics,electrotechnology
8020639,atmosphere,meteorology,computer_network
7984,beverages_and_sugar
9057041,impact_study,market_prices,distributive_trades
7610506,therapeutics,surgery
6423246,technical_regulations,database,information_storage
7189385,social_impact,marketing,microeconomics
8820064,industrial_production,technological_change,computer_equipment
727153,technical_regulations,personal_data,means_of_communication
731640,information_and_information_processing,database,computer_network
7610710,communications_industry,information_storage,technological_change
7455643,consumption,thermodynamics,building_industry
728467,insurance,illness,statistics
4883517,ecosystem,atmosphere,economic_sector
9015776,mechanical_engineering,electrotechnology,plasma_physics
9324236,nanotechnology,chemistry,electrotechnology
7959932,economic_indicator,financial_market,monetary_relations
58912,parasitology,agricultural_structures_and_production,immunology
93759,maritime_and_inland_waterway_transport,research,information_technology_applications
949263,anatomy,economic_sector,intellectual_property
9280638,visual_arts,wildlife,ecosystem
9591289,agricultural_structures_and_production,bioenergy,international_trade
7177568,information_and_information_processing,coding,computer_network
867489,research
45606424,leather_and_textile_industries,farming_systems
7992955,capital_movement,financial_institutions_and_credit,monetary_economics
615336,research,astronautics,data_recording
7580913,atmosphere,glaciology,geology
627597,technological_change,technology_assessment,information_technology_applications
9977526,demography,social_life,psychology
80621,beverages_and_sugar,intellectual_property,plant_product
690708,performing_arts,music
9107632,audiovisual_equipment,means_of_communication
6143805,database,information_storage,software
761030,astronomy,spectrometry,research
929814,forecasting,macroeconomics,statistics
8736181,technological_change,information_science,technology_assessment
870613,aerodynamics,mechanical_engineering,wind_energy
9239056,metals
9555814,research
8753282,literature,technological_change,cognitive_science
6319221,music,performing_arts,goods_and_services
7270721,aquaculture,impact_study,social_survey
89484,astronautics,mechanical_engineering,technology_assessment
738185,macroeconomics,monetary_economics,economic_system
860924,renewable_energy,wind_energy
746939,intellectual_property,economic_system,literature
9596101,audiovisual_equipment,systems_interconnection,opinion_poll
949770,teaching,psychoanalysis,econometrics
868594,maritime_and_inland_waterway_transport,building_industry,wood_industry
857353,climate_change_policy,ionising_radiation,astronautics
5868205,intellectual_property,biology,ecology
9387033,chemical_industry,biology,pharmacology
653410,statistics,illness,insurance
7522,thermodynamics,mechanical_engineering,economic_sector
8510984,financial_legislation,financial_market,monetary_relations
7773040,performing_arts,religion,law
685244,glaciology,ecosystem,atmosphere
8734977,software,computer_equipment,building_industry
885520,astronomy,research,data_recording
669244,military_science,technical_profession,industrial_production
8282374,atmosphere
9835466,technological_change,information_and_information_processing,digital_technology
8288266,spectrometry,optics,technological_change
8090572,organisation_of_teaching,education,teaching
939871,surgery,intellectual_property,parasitology
8753200,wildlife,visual_arts,social_life
8803556,leisure,toxicology,pharmacology
7737010,therapeutics,surgery,psychology
8872778,intellectual_property,documentation,literature
685383,population_dynamics,information_science,cognitive_science
9870182,illness,ecosystem,immunology
7790915,database,technological_change,information_science
8043223,systems_interconnection,computer_network
8238971,information_storage,database
7529100,international_trade
8447200,astronomy,research,nanotechnology
8708316,information_storage,computer_network,data_recording
9878102,aerodynamics,oceanography,astronomy
68963,demography
8832720,religion,technological_change,nanotechnology
748931,digital_technology,performing_arts,cognitive_science
9127632,biology,technological_change,nanotechnology
7645050,plasma_physics
9414430,nanotechnology,chemistry,nutrition
44544717,leather_and_textile_industries,maritime_and_inland_waterway_transport,beverages_and_sugar
6742209,metals
9074556,animal_product
6791899,farming_systems,consumer,renewable_energy
7014908,wind_energy
7800134,atmosphere,research,meteorology
9447014,education,psychology,intellectual_property
7690012,wildlife,ecosystem,atmosphere
833023,mathematics,intellectual_property,parasitology
735136,medical_research,psychoanalysis,parasitology
962501,land_transport
7396765,soil_science,economic_sector,economic_system
9880032,technological_change,climate_change_policy,epidemiology
6889,demography
8073807,surgery,therapeutics,industrial_production
55254540,wildlife,ecosystem,climate
9496324,ecosystem,social_structure,religion
9286263,ecosystem,geomorphology,hydrology
852073,wildlife,criminology,social_situation
7739073,sport_science,therapeutics,migration
8958124,astronautics,aerodynamics,computer_network
7717088,acoustics,production,industrial_production
963534,database,personal_data,information_storage
8664541,law,financial_legislation,means_of_communication
7817455,electrotechnology,consumption,electronics
9071038,international_trade,monetary_relations,financing_and_investment
7291099,supply_and_demand,goods_and_services
9084531,plasma_physics,nanotechnology,atmosphere
8292088,animal_product
96910,sport_science,anatomy,nanotechnology
6159258,technical_regulations,prices,pharmacology
7638963,taxation
849642,marketing,distributive_trades
98030,visual_arts,animal_product,farming_systems
9258802,ecosystem
663302,parasitology,immunology,illness
8001869,technical_regulations
8806722,electrotechnology,astronomy,astronautics
8700786,toxicology,therapeutics,illness
8638440,parasitology,wildlife,medical_research
905758,demography,religion,performing_arts
8998943,data_recording,electronics,plasma_physics
9794432,digital_technology,computer_equipment,industrial_production
7768968,soil_science,ecosystem,public_works
7693501,astronomy,intellectual_property,research
7135084,opinion_poll,social_life,family
837770,thermodynamics,chemistry,nanotechnology
935621,econometrics
7295638,cognitive_science,impact_study,intellectual_property
7910553,opinion_poll,population_dynamics,social_indicator
7992889,research,climate_change_policy,personal_data
6985012,monetary_relations,financial_market,financing_and_investment
972079,social_survey,economic_sector,economic_system
8417346,atmosphere,ecosystem,hydrology
659169,technological_change,nanotechnology,digital_technology
8261070,climate_change_policy,renewable_energy,consumption
9480299,computer_network
7219294,wildlife,means_of_communication,welfare
689619,metrology,coding,systems_interconnection
6808820,anatomy,paleontology,intellectual_property
76086,renewable_energy,hydraulic_energy
74384,financing_and_investment,economic_indicator,capital_movement
928,microeconomics,statistics,technological_change
8710238,technological_change,nanotechnology,digital_technology
756616,computer_equipment,information_and_information_processing,digital_technology
9419417,social_survey,forecasting,economic_indicator
893021,law,migration
76084,electrotechnology,mechanical_engineering
9012337,performing_arts,religion,plant_product
952323,education,teaching
7658428,performing_arts,literature,social_life
7497374,economic_indicator,economic_system,capital_movement
9103653,taxation
7102590,nanotechnology,technological_change,digital_technology
811240,building_industry,public_works,wood_industry
7103018,data_recording,computer_equipment,electronics_and_electrical_engineering
6697522,paleontology,wildlife,ecosystem
6870280,consumption,solar_energy,renewable_energy
81429,data_recording
8488190,public_finance,public_debt
852721,technological_change,digital_technology,music
7509989,information_storage,communications_industry,audiovisual_equipment
6996576,metals,visual_arts,population_dynamics
9052641,welfare,farming_systems,industrial_structures
8276712,information_technology_applications,marketing,technology_assessment
961557,ecosystem,building_industry,documentation
7086429,teaching,cognitive_science,religion
755590,metals,industrial_structures,leather_and_textile_industries
7104225,computer_network,technological_change,systems_interconnection
8790435,land_transport,maritime_and_inland_waterway_transport
9141797,immunology,nanotechnology,technological_change
8412873,computer_network,information_technology_applications,database
8665976,acoustics,technological_change,intellectual_property
858544,intellectual_property,religion,geography
949651,ionising_radiation,nuclear_physics,illness
967844,teaching,information_technology_applications,mathematics
884805,biology,anatomy,immunology
8231921,public_debt,climate_change_policy,international_trade
6342236,economic_sector,nutrition,agricultural_structures_and_production
673581,communications_industry,information_storage,industrial_production
87175,immunology,technology_assessment,technological_change
6711213,maritime_and_inland_waterway_transport,animal_product,metrology
82981,criminology,wildlife,air_and_space_transport
9817744,mechanical_engineering,thermodynamics,electrotechnology
99761,plant_product,animal_product,beverages_and_sugar
7010827,consumption,technology_assessment,information_and_information_processing
8208648,information_technology_applications,coding,econometrics
641320,industrial_structures,performing_arts,economic_system
7367038,industrial_production,production,public_works
810260,plasma_physics,astronomy,laser_physics
9022221,metallurgical_industry
72489,nanotechnology,nuclear_physics,spectrometry
700605,communications_industry,distributive_trades,electronics_and_electrical_engineering
873532,intellectual_property,research,technological_change
8745867,therapeutics,animal_product,technology_assessment
659165,ecosystem,technological_change,demography
7250086,parasitology,immunology,illness
8512436,nutrition,anatomy,surgery
8146892,toxicology,therapeutics,illness
9039793,audiovisual_equipment,means_of_communication
891543,audiovisual_equipment
7679084,prices,microeconomics,economic_system
49169280,leather_and_textile_industries,international_trade,maritime_and_inland_waterway_transport
847879,social_survey,astronomy,welfare
5772996,glaciology,aquaculture
896,plasma_physics,thermodynamics,nuclear_physics
8558371,metals
59611,nuclear_physics,plasma_physics,spectrometry
8298101,soil_science,ecosystem,forestry
9458990,farming_systems
7333072,psychoanalysis,teaching,literature
701807,law,criminology,psychology
664901,technical_profession,information_technology_applications,maritime_and_inland_waterway_transport
734974,spectrometry,astronomy,intellectual_property
929697,welfare,social_life,psychology
8848840,intellectual_property,epidemiology,biology
8280820,international_trade,technical_regulations,economic_system
9673106,statistics,mechanical_engineering,nanotechnology
9040547,illness,anatomy,immunology
7821929,ecology,geology,geomorphology
7144771,atmosphere,aerodynamics,technology_assessment
99170,research,astronautics,land_transport
9016191,plasma_physics
9392604,audiovisual_equipment,means_of_communication,air_and_space_transport
54308168,maritime_and_inland_waterway_transport,wind_energy,astronomy
972564,ecosystem,wildlife,forestry
940474,ecosystem,atmosphere,aquaculture
6948286,economic_indicator,capital_movement,financial_institutions_and_credit
8728576,technical_regulations,social_impact,social_situation
7474102,pharmacology,medical_research,leisure
7650932,international_trade,financial_legislation,financial_market
7854016,financing_and_investment,financial_market,monetary_relations
9853606,communications_industry,music,means_of_communication
6764050,hydrology,astronomy,building_industry
8203339,international_trade,climate_change_policy,building_industry
7395201,public_debt,climate_change_policy,law
8625423,microeconomics,information_storage,communications_industry
7384771,systems_interconnection,computer_network,digital_technology
750744,technical_profession
8296169,anatomy,agronomy,hydrology
91814,ecosystem,geomorphology,geography
982004,ecology,parasitology,biology
9870568,macroeconomics,monetary_relations,economic_system
44489883,leather_and_textile_industries,farming_systems,wind_energy
9074773,animal_product,agricultural_structures_and_production
9405478,land_transport,ecology,geography
740463,surgery,insurance,animal_product
7842986,ecosystem,wildlife,climate
949463,military_science,performing_arts,production
8858370,welfare,astronomy,economic_system
709137,chemical_industry,sport_science,mechanical_engineering
7886492,astronomy,cartography,computer_equipment
838750,religion,ecosystem,atmosphere
67646,demography,ecosystem,migration
918986,psychology,economic_system,economic_sector
8770941,social_life,social_security,welfare
7223818,demography,welfare,migration
7403124,database,software,production
949007,intellectual_property,cognitive_science,technology_assessment
9003897,technical_regulations,social_situation,social_impact
843067,wood_industry,animal_product,forestry
92441,nanotechnology,technological_change,biology
8503850,wood_industry,distributive_trades,visual_arts
7486677,public_finance,budget,supply_and_demand
7474594,visual_arts,education,teaching
8231722,land_transport
618695,industrial_structures,intellectual_property,information_science
7972928,technological_change,social_life,cognitive_science
6633740,maritime_and_inland_waterway_transport
6240458,opinion_poll,social_indicator,climate_change_policy
6091321,intellectual_property,paleontology,teaching
7677264,wildlife,visual_arts,biology
906659,agricultural_structures_and_production,geography,nutrition
8420481,economic_system,wildlife,consumer
78439,atmosphere,meteorology,climate_change_policy
44028818,leather_and_textile_industries,aquaculture,agricultural_structures_and_production
605524,ecosystem,economic_sector,climate_change_policy
984692,technological_change,cognitive_science,statistics
8158563,intellectual_property,religion,building_industry
9330907,intellectual_property,cybernetics,information_technology_applications
7331281,aquaculture,ecosystem,atmosphere
993295,economic_indicator,capital_movement,marketing
5789619,paleontology
734543,maritime_and_inland_waterway_transport,atmosphere,hydrology
871633,wildlife,teaching,paleontology
8446577,microeconomics
728387,atmosphere,religion,social_life
6013720,intellectual_property,atmosphere,wildlife
771190,astronomy,research,solar_energy
786562,atmosphere,renewable_energy,wind_energy
6816305,acoustics,music,electronics
9254477,technical_profession,air_and_space_transport,information_and_information_processing
8471452,information_technology_applications,personal_data,systems_interconnection
724650,education
741463,research,astronomy,spectrometry
8994493,consumer,distributive_trades,ecosystem
8400658,teaching,information_technology_applications,parasitology
7664801,electronics_and_electrical_engineering,industrial_production,chemical_industry
7075895,glaciology,astronomy,geomorphology
885739,immunology,illness,toxicology
8468129,music,literature,performing_arts
6806800,communications_industry,distributive_trades
86586,military_science,land_transport,economic_system
6784,law,migration,education
997997,religion,intellectual_property,building_industry
997969,wood_industry,animal_product,plant_product
8252372,farming_systems
827611,atmosphere,ionising_radiation,nuclear_physics
88238,leather_and_textile_industries
697224,economic_indicator,financial_institutions_and_credit,monetary_economics
708769,opinion_poll,intellectual_property,capital_movement
78490,research,plasma_physics,oceanography
9810095,microeconomics,financial_market,forecasting
9100592,digital_technology,computer_network,technology_assessment
926219,literature,means_of_communication,religion
870545,criminology,welfare,family
8477059,international_trade,technical_regulations,climate_change_policy
81863,economic_indicator,mechanical_engineering,microeconomics
7443433,information_technology_applications,astronomy,research
789839,demography,ecosystem,economic_indicator
8844,information_storage,digital_technology,production
7087029,intellectual_property,population_dynamics,technological_change
7464687,military_science,technical_profession,air_and_space_transport
5702901,intellectual_property,information_and_information_processing,technological_change
976826,spectrometry,optics
964617,building_industry,visual_arts,literature
914564,documentation,social_life,coding
8957266,wildlife,social_situation,social_life
7430578,nanotechnology,technological_change,cybernetics
9650980,intellectual_property,information_technology_applications,law
9308997,climate_change_policy,social_situation,social_structure
8091612,psychoanalysis
8791730,chemical_industry
746944,astronomy,spectrometry,intellectual_property
835998,education,computer_network,forestry
741491,spectrometry,astronomy,metals
6997,economic_system,macroeconomics,microeconomics
81884,thermodynamics,technological_change,technology_assessment
751777,hydraulic_energy,renewable_energy
8510995,forecasting,economic_indicator
8990853,atmosphere,meteorology,oceanography
867159,law,personal_data,cognitive_science
982240,intellectual_property,maritime_and_inland_waterway_transport,religion
7931987,marketing,information_technology_applications,technical_regulations
8938581,technical_regulations,personal_data,information_technology_applications
768734,religion,welfare,performing_arts
719577,mathematics,econometrics,teaching
826478,ecosystem,climate,cognitive_science
8743336,plant_product,bioenergy,economic_sector
6395870,prices,economic_indicator,macroeconomics
89547,meteorology,hydrology,oceanography
81989,astronautics,research
894993,animal_product
997260,astronomy,electrotechnology,nanotechnology
96918,metals,sport_science,immunology
9391228,microeconomics,statistics
7590724,personal_data,social_situation,climate_change_policy
6870132,database
4725619,leather_and_textile_industries
7953485,solar_energy
8273596,computer_equipment,software,coding
6281841,maritime_and_inland_waterway_transport,iron_and_steel_industry,metallurgical_industry
750151,econometrics,research,public_works
6842369,impact_study,economic_sector,production
8282120,anatomy,economic_sector,animal_product
7040440,plant_product
9977829,technical_profession,electronics,aerodynamics
5897742,social_indicator,population_dynamics,audiovisual_equipment
961116,plant_product,bioenergy,agricultural_structures_and_production
7169432,market_prices,marketing,economic_system
7248970,intellectual_property,psychoanalysis,acoustics
7913725,ecology,metrology,optics
769762,mechanical_engineering,chemical_industry,impact_study
650524,ecosystem,maritime_and_inland_waterway_transport,climate_change_policy
8906418,building_industry,public_works,biology
945919,economic_sector,demography,welfare
54668019,econometrics
55504855,wildlife,mathematics,paleontology
8872503,economic_sector,climate_change_policy,welfare
7202211,information_technology_applications,teaching,econometrics
92447,nanotechnology,chemical_industry,technological_change
9632150,astronomy,electrotechnology,nuclear_physics
9390286,mechanical_engineering,building_industry,industrial_production
8122589,visual_arts,performing_arts,production
859412,law,climate_change_policy,public_finance
8894516,database,information_and_information_processing
741222,astronomy,research,spectrometry
936162,military_science,population_dynamics,social_impact
9118962,budget,public_debt,climate_change_policy
8137228,aquaculture,plant_product,animal_product
998577,economic_system,economic_indicator,macroeconomics
99421,forestry
9367687,economic_indicator,capital_movement,financial_institutions_and_credit
8900,population_dynamics,social_life,law
774020,land_transport,ecosystem,atmosphere
7719976,nutrition,bioenergy,animal_product
7840468,aerodynamics,astronautics,land_transport
8171793,atmosphere,maritime_and_inland_waterway_transport,aquaculture
746402,parasitology,paleontology,mathematics
8737153,performing_arts
99260,visual_arts,literature,religion
735661,climate_change_policy,atmosphere,microeconomics
75253,ecosystem,demography,atmosphere
91515,military_science,economic_system,law
8467496,literature,performing_arts,religion
7243396,software,systems_interconnection,industrial_production
798022,public_finance,taxation,budget
8578391,sport_science,medical_research,intellectual_property
8935360,documentation
8723506,military_science,wildlife,climate_change_policy
947362,prices,land_transport,economic_system
857516,communications_industry
5645049,intellectual_property,medical_research,technology_assessment
9206327,digital_technology,audiovisual_equipment,electronics_and_electrical_engineering
6078350,social_life,population_dynamics,social_impact
98341,agricultural_structures_and_production,plant_product
871659,metals,chemistry,agronomy
6848104,marketing,consumer,goods_and_services
8151109,plasma_physics
9643127,opinion_poll,law,public_finance
9293603,anatomy,ecosystem,nanotechnology
6667809,music,population_dynamics,performing_arts
7919595,digital_technology,computer_network,electronics
700,psychoanalysis,consumer,mathematics
45268151,leather_and_textile_industries
953369,nanotechnology,technology_assessment,technological_change
9588798,insurance,climate_change_policy,atmosphere
7922436,teaching,criminology,welfare
875202,leisure,toxicology,psychology
8216157,plant_product,agricultural_structures_and_production
9233887,macroeconomics,economic_system
877375,economic_sector,technological_change,ecosystem
982115,industrial_production,production,performing_arts
997387,electrotechnology,astronautics,astronomy
8104972,epidemiology,intellectual_property,climate_change_policy
9345069,optics,acoustics,information_technology_applications
8242848,immunology,technological_change,nanotechnology
8366324,paleontology,mathematics,teaching
72711,cognitive_science,cybernetics,anatomy
7788817,hydrology,soil_science,nanotechnology
8066513,supply_and_demand
730796,computer_network,systems_interconnection,personal_data
9875832,psychology,social_life,cognitive_science
6700,economic_sector,plant_product,agricultural_structures_and_production
999964,computer_network,systems_interconnection,intellectual_property
930884,beverages_and_sugar,econometrics,forestry
766527,information_technology_applications,information_and_information_processing,impact_study
81633,data_recording,optics,astronomy
849564,economic_system,consumer,international_trade
877167,plasma_physics,chemical_industry,solar_energy
8099272,acoustics,visual_arts,performing_arts
6843398,atmosphere,thermodynamics,consumption
7749021,database,information_and_information_processing,information_technology_applications
7153598,electrotechnology,thermodynamics,hydrology
7807416,consumer
794811,mathematics,econometrics,atmosphere
9384714,forestry,ecosystem,atmosphere
9196294,psychology,cognitive_science,ecosystem
83060,electrotechnology,plasma_physics,nuclear_physics
733625,social_life,consumer,social_situation
9603757,audiovisual_equipment,digital_technology,technical_regulations
984130,music,visual_arts,literature
8436001,consumption,economic_sector,marketing
79658,plant_product,agricultural_structures_and_production
881027,demography,economic_sector,economic_indicator
6938,visual_arts,literature,building_industry
732839,international_trade,technical_regulations,documentation
897099,ecosystem,atmosphere
8082812,nanotechnology,optics,technological_change
913040,intellectual_property,wildlife,social_life
7920218,astronomy,paleontology,wildlife
900383,mathematics,parasitology,chemistry
8250188,plant_product,animal_product
86346,sport_science,teaching,intellectual_property
985352,visual_arts,building_industry,paleontology
7806603,social_security,welfare,economic_sector
976730,electrotechnology,nanotechnology,technological_change
7221912,teaching,education
954420,demography,economic_system,personal_data
79449,anatomy,technological_change,statistics
7672872,geomorphology,ecosystem,geography
8140621,farming_systems,building_industry,public_works
8948543,visual_arts,technological_change,technology_assessment
6563587,biology,therapeutics,chemistry
931880,astronautics,aerodynamics,atmosphere
7874260,public_works,building_industry,hydraulic_energy
8631522,hydrology,oceanography,meteorology
8950688,intellectual_property,nanotechnology,technological_change
765,technology_assessment,intellectual_property,technological_change
784642,surgery,technology_assessment,nanotechnology
7703010,maritime_and_inland_waterway_transport,mathematics,aerodynamics
8559544,mechanical_engineering
9886454,database,information_technology_applications,computer_network
6699695,intellectual_property,geology,research
7331923,beverages_and_sugar,plant_product
9520850,demography,law,population_dynamics
7761379,teaching,wildlife,mathematics
7500979,intellectual_property,law,cognitive_science
8885224,ecosystem,forestry,aquaculture
5807774,religion,music,performing_arts
969495,land_transport
